Class,Day,Time Slot,Classroom
,Friday,08:00-09:00,4003
,Friday,08:00-09:00,4007
,Friday,08:00-09:00,4105
,Friday,09:00-10:00,4003
,Friday,09:00-10:00,4007
,Friday,09:00-10:00,4105
,Friday,10:00-11:00,4007
,Friday,11:00-12:00,4007
,,,
,Monday,11:00-12:00,4304B
,Monday,12:00-13:00,4003
,Monday,12:00-13:00,4007
,Monday,12:00-13:00,4304A
,Monday,13:00-14:00,4003
,Monday,13:00-14:00,4007
,Monday,13:00-14:00,4304A
,Monday,14:00-15:00,4005
,Monday,15:00-16:00,4006
,Tuesday,10:00-11:00,4006
,Tuesday,11:00-12:00,4006
,Tuesday,12:00-13:00,4105
,Tuesday,12:00-13:00,4304A
,Tuesday,12:00-13:00,4003
,Tuesday,13:00-14:00,4105
TY-AIML-A,Tuesday,13:00-14:00,4304A
,Tuesday,13:00-14:00,4003
,Wednesday,11:00-12:00,4006
,Wednesday,12:00-13:00,4003
,Wednesday,12:00-13:00,4105
,Wednesday,12:00-13:00,4007
,Wednesday,13:00-14:00,4003
,Wednesday,13:00-14:00,4105
,Wednesday,13:00-14:00,4007
,Wednesday,14:00-15:00,4003
,Wednesday,15:00-16:00,4003
,Thursday,10:00-11:00,4005
,Thursday,11:00-12:00,4304B
,Thursday,11:00-12:00,4005
,Thursday,12:00-13:00,4304A
,Thursday,12:00-13:00,4304B
,Friday,10:00-11:00,4005
,Friday,11:00-12:00,4304B
,Friday,12:00-13:00,4105
,Friday,12:00-13:00,4005
,Friday,12:00-13:00,4304B
,Friday,13:00-14:00,4105
,Friday,13:00-14:00,4005
,Friday,13:00-14:00,4304B
,Friday,14:00-15:00,4006
,Friday,15:00-16:00,4006
,,,
,Monday,10:00-11:00,4006
,Monday,11:00-12:00,4006
,Monday,12:00-13:00,4105
,Monday,12:00-13:00,4304B
,Monday,13:00-14:00,4105
,Monday,13:00-14:00,4304B
,Monday,14:00-15:00,4006
,Tuesday,12:00-13:00,4007
,Tuesday,12:00-13:00,4304B
,Tuesday,12:00-13:00,4307
,Tuesday,13:00-14:00,4007
,Tuesday,13:00-14:00,4304B
TY-AIML-B,Tuesday,13:00-14:00,4307
,Tuesday,14:00-15:00,4304B
,Wednesday,12:00-13:00,4304A
,Wednesday,12:00-13:00,4304B
,Wednesday,13:00-14:00,4304A
,Wednesday,13:00-14:00,4307
,Wednesday,14:00-15:00,4307
,Wednesday,15:00-16:00,4304B
,Wednesday,16:00-17:00,4003
,Wednesday,16:00-17:00,4105
,Wednesday,16:00-17:00,4007
,Wednesday,17:00-18:00,4003
,Wednesday,17:00-18:00,4105
,Wednesday,17:00-18:00,4007
,Thursday,10:00-11:00,4006
,Thursday,11:00-12:00,4006
,Thursday,12:00-13:00,4003
,Thursday,12:00-13:00,4007
,Thursday,12:00-13:00,4105
,Thursday,13:00-14:00,4003
,Thursday,13:00-14:00,4007
,Thursday,13:00-14:00,4105
,Friday,10:00-11:00,4006
,Friday,11:00-12:00,4307
,Friday,12:00-13:00,4007
,Friday,12:00-13:00,4304A
,Friday,12:00-13:00,4003
,Friday,13:00-14:00,4007
,Friday,13:00-14:00,4304A
,Friday,13:00-14:00,4003
,Friday,14:00-15:00,4304B
,Friday,15:00-16:00,4304B
